DRUG_ID,Drug_Name,N_Colon,N_Other,Mean_LN_IC50_Colon,Mean_LN_IC50_Other,Diff_Colon_vs_Other,MannWhitney_p,Bonferroni_Sig,Bonferroni_Threshold,LogP
1820,123829,45,672,1.8527611777777773,2.636121205357143,-0.7833600275793657,0.0016395408042327545,False,0.00016949152542372882,2.785277770313552
1133,Serdemetan,46,902,4.278279282608696,3.723858531042129,0.5544207515665671,0.0016718335773118567,False,0.00016949152542372882,2.776806956593405
1511,Epirubicin,45,913,-0.0236791777777778,-0.8933041117196057,0.8696249339418278,0.0017141748591717766,False,0.00016949152542372882,2.7659448787371925
1581,Bromosporine,45,671,2.955751844444444,2.3697943666169894,0.5859574778274546,0.0020597627060656904,False,0.00016949152542372882,2.686182809428059
1049,PD173074,46,921,4.228270434782609,3.740071389793702,0.4881990449889071,0.002071345919497362,False,0.00016949152542372882,2.6837473668797323
1578,Leflunomide,47,847,5.411764553191489,5.016498106257378,0.3952664469341105,0.002199252327806757,False,0.00016949152542372882,2.657724939676337
1849,Sabutoclax,47,845,0.20181080851063832,-0.3794031869822485,0.5812139954928868,0.002254915275447028,False,0.00016949152542372882,2.646869771345706
1033,Vismodegib,46,903,5.371466999999999,4.92841211738649,0.44305488261350945,0.002273226762632548,False,0.00016949152542372882,2.643357239660908
1005,Cisplatin,42,718,4.008608166666667,3.190315359331476,0.8182928073351907,0.0025570919331207274,False,0.00016949152542372882,2.592253657844094
1029,Motesanib,46,903,6.011133999999998,5.454297332225914,0.5568366677740846,0.002606973062114685,False,0.00016949152542372882,2.583863456378809
1018,Veliparib,46,903,5.659919282608696,5.2438080598006644,0.4161112228080315,0.002654708498586318,False,0.00016949152542372882,2.575983159857736
1463,AZD1332,45,672,4.333635022222222,3.7239331800595243,0.6097018421626981,0.002924532446667539,False,0.00016949152542372882,2.533943555928117
1036,PLX-4720,47,914,4.819044957446808,4.182152287746171,0.6368926697006367,0.0030469953109090635,False,0.00016949152542372882,2.5161282141225465
1939,UMI-77,41,702,3.5218377317073166,2.9160937606837605,0.6057439710235561,0.003080905259730125,False,0.00016949152542372882,2.5113216563760283
1930,Telomerase Inhibitor IX,45,913,1.1896983777777779,0.6283403450164294,0.5613580327613484,0.0031462448782567883,False,0.00016949152542372882,2.5022074784270134
1614,WZ4003,47,847,4.73346374468085,4.125664573789846,0.6077991708910035,0.003269396460073791,False,0.00016949152542372882,2.485532411942642
1718,JAK1_8709,45,672,4.583020066666666,4.057294709821428,0.5257253568452382,0.003569938410538609,False,0.00016949152542372882,2.4473392763791106
1003,Camptothecin,47,921,-1.5443436382978721,-2.293873232356135,0.7495295940582627,0.003580734621290821,False,0.00016949152542372882,2.4460278646289115
1783,LMB_AB1,45,672,5.868324622222223,5.37509127827381,0.4932333439484138,0.003761482444540131,False,0.00016949152542372882,2.424640960764145
1584,BDOCA000347a,45,672,3.185126644444444,2.72827796875,0.4568486756944439,0.0039998676034150435,False,0.00016949152542372882,2.3979543836865065
2107,LJI308,44,910,5.420743863636364,4.956677116483517,0.464066747152847,0.004325811332485918,False,0.00016949152542372882,2.3639324259619006
1586,BDILV000379a,45,672,4.857573666666666,4.422507105654762,0.43506656101190444,0.004455459913050892,False,0.00016949152542372882,2.351107459440601
1779,GSK626616AC,45,672,1.4044954444444444,0.9439555014880954,0.46053994295634904,0.004689554716652155,False,0.00016949152542372882,2.3288683925262132
1067,CCT007093,45,893,5.561806711111111,5.172657876819709,0.3891488342914018,0.005192521288436135,False,0.00016949152542372882,2.284621714257208
1510,Linsitinib,47,919,3.4175355957446807,3.992512533188248,-0.5749769374435671,0.005467344379111325,False,0.00016949152542372882,2.2622235697453004
1780,GSK3337463A,45,672,5.7411764,5.250939117559524,0.49023728244047593,0.005873456819488042,False,0.00016949152542372882,2.2311062197483187
1708,CDK9_5576,45,671,0.3493498444444444,-0.22783162295081968,0.5771814673952641,0.005956334192029519,False,0.00016949152542372882,2.2250209432767085
2359,GSK2830371,42,689,5.955626595238095,5.390104943396227,0.565521651841868,0.006270370240357417,False,0.00016949152542372882,2.202706815054928
1020,Lenalidomide,46,903,5.6635251956521735,5.214832262458471,0.4486929331937022,0.006473443066024987,False,0.00016949152542372882,2.1888646672683945
2498,alpha-lipoic acid,42,693,8.059893357142856,7.633267976911978,0.42662538023087837,0.006494240222437247,False,0.00016949152542372882,2.1874716508271463
1180,Dinaciclib,47,844,-2.1911619574468086,-2.6802633068720376,0.489101349425229,0.006611304717425072,False,0.00016949152542372882,2.179712825588019
1093,GSK1904529A,47,918,4.757490425531915,4.327689912854031,0.4298005126778843,0.007188551799322879,False,0.00016949152542372882,2.143358593471356
1813,Fludarabine,45,672,5.578710044444445,4.7175499062499995,0.8611601381944451,0.007223340158942812,False,0.00016949152542372882,2.1412619330182388
1812,Bleomycin,45,672,3.185331555555555,2.606986354166667,0.5783452013888879,0.007418552857778002,False,0.00016949152542372882,2.129680804583122
1777,GSK2276186C,45,672,5.281562133333333,4.779084946428571,0.5024771869047617,0.007517922725132471,False,0.00016949152542372882,2.123902142604786
